Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Accesion number,Call number,Label,Keywords,Abstract,URL,Author Address
Agro-ecosystem,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Habitat diversity,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Flagship species,,,,,,,,,,,,,,
Human-wildlife conflicts,,,,,,,,,,,,,,
Food availability,,,,,,,,,,,,,,
Habitat fragmentation,,,,,,,,,,,,,,
Roosting behaviour,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
S. A. Akhtar,1998,"Wintering ecology of the harriers of Velavadar National Park, Bhavnagar district, Gujarat",,,"University of Mumbai, Mumbai",,Ph.D.,,,TD-00081,Accipitridae,,,
Harriers,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Grasslands ,,,,,,,,,,,,,,
Swamps,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Age structure,,,,,,,,,,,,,,
Roosting behaviour,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Population dynamics,,,,,,,,,,,,,,
Weed control,,,,,,,,,,,,,,
S. Ali,1991,"Ecology and behaviour of the Grey Francolin Francolinus pondicerianus pondicerianus (Gmelin) (Class: Aves, Family: Phasianidae)",,,"University of Mumbai, Mumbai",,Ph.D.,,,TD-00253,Galliformes,,,
Phasianidae,,,,,,,,,,,,,,
Francolinus pondicerianus,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Ecophysiology,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Aggression,,,,,,,,,,,,,,
Preening,,,,,,,,,,,,,,
Sexual selection,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Territorial behaviour,,,,,,,,,,,,,,
Roosting behaviour,,,,,,,,,,,,,,
J. J. Alphonse,1997,"Breeding ecology of Brahminy Kite, Haliastur indus in Cauvery delta South India",Department of Zoology,,"Bharathidasan University, Tiruchirappalli",,Ph.D.,,,TD-00220,Raptors,,,
Accipitridae,,,,,,,,,,,,,,
Haliastur indus,,,,,,,,,,,,,,
Coromandel Plains,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Water availability,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Breeding territories,,,,,,,,,,,,,,
Nest characteristics,,,,,,,,,,,,,,
Nest site fidelity,,,,,,,,,,,,,,
Nest site selection,,,,,,,,,,,,,,
K. Amrutha,2012,Brain acetylcholinesteraseand butyrylcholinesterase activities as biomarkers of exposure to pesticides in birds in Gujarat,Nehru Arts and Science College & Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,,,TD-00134,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Toxicology,,,,,,,,,,,,,,
Pesticide contamination,,,,,,,,,,,,,,
Nervous disorders,,,,,,,,,,,,,,
Enzyme activity,,,,,,,,,,,,,,
C. Anbarasu,2013,"Study on avian frugivory and seed dispersal in the shola forests of Nilgiri hills, Western Ghats, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,,,TD-00023,Landbirds,,,
Western Ghats (Central),,,,,,,,,,,,,,
Shola forests,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Frugivory,,,,,,,,,,,,,,
Vegetation composition,,,,,,,,,,,,,,
Fruit traits,,,,,,,,,,,,,,
Plant-bird interactions,,,saconanbu@gmail.com,,,,,,,,,,,
D. Anitha,2007,"An assessment of the status of the Black-and-orange Flycatcher in the upper Nilgiris, Western Ghats",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,,,TD-00036,Flycatchers,,,
Ficedula nigrorufa,,,,,,,,,,,,,,
Muscicapidae,,,,,,,,,,,,,,
Western Ghats (Central),,,,,,,,,,,,,,
Forests,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Landscape ecology ,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Endemism,,,,,,,,,,,,,,
Sexual dimorphism,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
M. Anjaneyulu,1991,"Status of wetland and survey of avifauna at Kolleru lake in Andhra Pradesh, India",,,"Osmania University, Hyderabad",,Ph.D.,,,TD-00274,Waterbirds,,,
Waterfowl,,,,,,,,,,,,,,
Eastern Plains,,,,,,,,,,,,,,
Lakes,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Bird communities,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species composition,,,,,,,,,,,,,,
Migrants,,,,,,,,,,,,,,
Water availability,,,,,,,,,,,,,,
Water quality parameters,,,,,,,,,,,,,,
Winter migrant,,,,,,,,,,,,,,
K. Ankit,2017,"Effect of habitat characteristics on waterbird diversity along river ganga in Allahabad, Uttar Pradesh",Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",43,M.Sc.,,,TD-00334,Bird diversity,,,
Riverine floodplain,,,,,,,,,,,,,,
Anthropogenic pressure,,,,,,,,,,,,,,
Human disturbance,,,,,,,,,,,,,,
Bird density,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Habitat heterogeneity,,,,,,,,,,,,,,
Microhabitat characteristics,,,,,,,,,,,,,,
N. Ann,2014,Adaptations of birds in the sub families of Timaliinae and Sylviinae observations on the group,St. Joseph's College,Devagiri,"University of Calicut, Kozhikode",,Ph.D.,,,TD-00310,Babblers,,,
Warblers,,,,,,,,,,,,,,
Cisticolidae,,,,,,,,,,,,,,
Phylloscopidae,,,,,,,,,,,,,,
Acrocephalidae,,,,,,,,,,,,,,
Timaliidae,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Avian physiology & anatomy,,,,,,,,,,,,,,
Morphometrics,,,,,,,,,,,,,,
Morphological adaptations,,,,,,,,,,,,,,
P. M. Antony,2008,"Status, population and ecology of the Black Kite Milvus migrans in Coimbatore, Tamilnadu",AVC College,Mayiladuthurai,"Bharathidasan University, Trichirappalli",,M.Sc.,,,TD-00039,Raptors,,,
Milvus migrans,,,,,,,,,,,,,,
Accipitridae,,,,,,,,,,,,,,
Western Ghats (Central),,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Rural ecosystem,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Activity pattern,,,,,,,,,,,,,,
Roosting behaviour,,,,,,,,,,,,,,
Mixed roosting colonies,,,,,,,,,,,,,,
R. Aruna,2012,Study on avian frugivory in tropical mixed dry deciduous and scrub forest in southern India,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,,,TD-00021,Landbirds,,,
Western Ghats (Central),,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Landscape ecology,,,,,,,,,,,,,,
Macroecology,,,,,,,,,,,,,,
Frugivory,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Vegetation composition,,,,,,,,,,,,,,
Plant-bird interactions,,,arsbot@gmail.com,,,,,,,,,,,
A. Ashima,2017,"Status survey, eco-biology and conservation perspectives of some resident wetland birds of Jammu (J&K)",Department of Zoology,Jammu,University of Jammu,389,Ph.D.,,,TD-00380,Species diversity,,,
White-breasted Waterhen,,,,,,,,,,,,,,
White-breasted Kingfisher,,,,,,,,,,,,,,
Species composition,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Conservation assessment,,,,,,,,,,,,,,
Wetland birds,,,,,,,,,,,,,,
Population dynamics,,,,,,,,,,,,,,
Feeding guilds,,,,,,,,,,,,,,
Amaurornis phoenicurus,,,,,,,,,,,,,,
Halcyon smyrnensis,,,,,,,,,,,,,,
Population status,,,,,,,,,,,,,,
Life history strategies,,,,,,,,,,,,,,
Anthropogenic disturbance,,,,,,,,,,,,,,
A. V. Ashtekar,c.a. 1991 (came under WII database 1991),Food habit analysis of some selected species of bird in Karnala bird sanctuary - an economic appraisal,Directorate of Wildlife management & Education,Dehradun,"Forest Research Institutes & Colleges, Dehradun",15,Diploma dissertation,,,TD-00373,Foraging behaviour,,,
Foraging strategy,,,,,,,,,,,,,,
Karnala bird sanctuary,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Semi-evergreen forests,,,,,,,,,,,,,,
Falcons,,,,,,,,,,,,,,
Kingfishers,,,,,,,,,,,,,,
Ruffed Grouse,,,,,,,,,,,,,,
Flycatchers,,,,,,,,,,,,,,
Insectivores,,,,,,,,,,,,,,
A. Asitchandra,2004,Energy metabolism in relation to breeding activities in two omnivore species of birds,Department of Zoology,,"Maharaja Sayajirao University of Baroda, Vadodara",,Ph.D.,,,TD-00172,Acridotheres ginginianus,,,
Sturnia pagodarum,,,,,,,,,,,,,,
Sturnidae,,,,,,,,,,,,,,
Passeriformes,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Woodlands,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Farmlands,,,,,,,,,,,,,,
Avian physiology & anatomy,,,,,,,,,,,,,,
Reproductive pattern,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Carbohydrate metabolism,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
S. Asokan,1995,"Ecology of the Small Green Bee-eater Merops orientalis Latham 1801, with special reference to its population, feeding and breeding in Mayiladuthurai, Tamil Nadu, South India",A V C College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",,Ph.D.,,,TD-00289,Bee-eaters,,,
Meropidae,,,,,,,,,,,,,,
Merops orientalis ,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
River bank,,,,,,,,,,,,,,
Farmlands,,,,,,,,,,,,,,
Human habitations,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Population density,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Insectivores,,,,,,,,,,,,,,
Insect availability,,,,,,,,,,,,,,
Pellet analysis,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Nestling growth pattern,,,,,,,,,,,,,,
V. R. Athreya,1993,"Fruiting strangler figs (Genus Ficus , subgenus Urostigma) and temporal variation in visitation of their avian frugivores in a tropical evergreen forest in the Western Ghats, India",,,"Pondicherry University, Pondicherry",,Ph.D.,,,TD-00285,Landbirds,,,
Western Ghats (Central),,,,,,,,,,,,,,
Evergreen forest,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Frugivores,,,,,,,,,,,,,,
Frugivory,,,,,,,,,,,,,,
Fruiting phenology,,,,,,,,,,,,,,
Fig,,,,,,,,,,,,,,
Fruit characteristics,,,,,,,,,,,,,,
Plant-bird interactions,,,,,,,,,,,,,,
Host-parasite interactions,,,,,,,,,,,,,,
P. C. Atyalia,1985,"Avian status of Birmotibagh santuary, Patiala (Punjab)",Wildlife Institute of India,Dehradun,"Wildlife Institute of India, Dehradun",72,Diploma course,,,TD-00349,Forest ecosystem,,,
Wildlife management,,,,,,,,,,,,,,
Population studies,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Bird diversity,,,,,,,,,,,,,,
Landbirds,,,,,,,,,,,,,,
Patridges,,,,,,,,,,,,,,
Species ecology,,,,,,,,,,,,,,
Biodiversity studies,,,,,,,,,,,,,,
Forest birds,,,,,,,,,,,,,,
Wetland birds,,,,,,,,,,,,,,
Anthropogenic pressure,,,,,,,,,,,,,,
Grazing pressure,,,,,,,,,,,,,,
Forest resource collection,,,,,,,,,,,,,,
Illegal poaching,,,,,,,,,,,,,,
R. Bajaj,1993,"Ecological and behavioural studies on Pied Myna, Sturnus contra contra Linn, in and around Kurukshetra",Department of Zoology,,"Kurukshetra University, Kurukshetra",,Ph.D.,,,TD-00211,Starlings,,,
Gracupica contra,,,,,,,,,,,,,,
Sturnidae,,,,,,,,,,,,,,
Punjab Plains,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Crop fields,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
M. Bajpai,2007,Variations in the haematological parameters in Rose-ringed Parakeet Psittacula krameri (In  relation to sex and season),Department of Zoology,,"Chhatrapati Shahu Ji Maharaj University, Kanpur",,Ph.D.,,,TD-00157,Psittacula krameri,,,
Psittaculidae,,,,,,,,,,,,,,
Parakeets,,,,,,,,,,,,,,
Upper Gangetic Plains,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Woodlands,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Haematology,,,,,,,,,,,,,,
Reproductive biology,,,,,,,,,,,,,,
Breeding seasonality,,,,,,,,,,,,,,
Stress effects,,,,,,,,,,,,,,
Immune responses,,,,,,,,,,,,,,
S. Balachandran,1990,Studies on the coastal birds of Mandapam and the neighbouring islands (Peninsular India),Centre of Advanced Study in Marine Biology,Parangipettai,"Annamalai University, Annamalai Nagar",,Ph.D.,,,TD-00269,Coastal birds,,,
Shorebirds,,,,,,,,,,,,,,
Coromandel Coast,,,,,,,,,,,,,,
Coasts,,,,,,,,,,,,,,
Islands,,,,,,,,,,,,,,
Mudflats,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Sand flats,,,,,,,,,,,,,,
Site fidelity,,,,,,,,,,,,,,
Banding,,,,,,,,,,,,,,
Bird survey,,,,,,,,,,,,,,
S. Balakrishna,1985,Biotic stress on the habitat of avifauna - a case study in Kolleru lake bird sanctuary of Andhra Pradesh,Wildlife Institute of India,Dehradun,,128 + Annexures + Figures,Dissertation,,,TD-00364,Wetland birds,,,
Kolleru lake,,,,,,,,,,,,,,
Biotic resources,,,,,,,,,,,,,,
Biotic stress,,,,,,,,,,,,,,
Resource management,,,,,,,,,,,,,,
Human disturbance,,,,,,,,,,,,,,
Anthropogenic pressure,,,,,,,,,,,,,,
Poultry,,,,,,,,,,,,,,
Duckery,,,,,,,,,,,,,,
Piggery,,,,,,,,,,,,,,
Habitat characteristics,,,,,,,,,,,,,,
Habitat management,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Pelicans,,,,,,,,,,,,,,
Kokkirailanka,,,,,,,,,,,,,,
Ingilipaka lanka,,,,,,,,,,,,,,
Pedayedlagandi,,,,,,,,,,,,,,
Feeding biology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Feeding cover,,,,,,,,,,,,,,
Nest-site characteristics,,,,,,,,,,,,,,
Nest-site selection,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Feeding cover,,,,,,,,,,,,,,
Breeding cover,,,,,,,,,,,,,,
Habitat usage,,,,,,,,,,,,,,
Urbanization,,,,,,,,,,,,,,
Grazing pressure,,,,,,,,,,,,,,
Fisheries,,,,,,,,,,,,,,
Socio-economic stress,,,,,,,,,,,,,,
Catchment management,,,,,,,,,,,,,,
Land use,,,,,,,,,,,,,,
Wetland ecosystem,,,,,,,,,,,,,,
Land cover,,,,,,,,,,,,,,
P. Balakrishnan,2007,"Status, distribution and ecology of the Grey-headed Bulbul, Pycnonotus priocephalus in the Western Ghats, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,,,TD-00011,Bulbuls,,,
Pycnonotus priocephalus,,,,,,,,,,,,,,
Pycnonotidae,,,,,,,,,,,,,,
Western Ghats (Central),,,,,,,,,,,,,,
Evergreen forests,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Microhabitat characteristics,,,baluperoth@gmail.com,,,,,,,,,,,
P. Balakumar,2007,Avian influenza in the context to diminishing ecological resources,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Phil.,,,TD-00028,Wetland birds,,,
landbirds,,,,,,,,,,,,,,
Western Ghats (Central),,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Avian influeza,,,,,,,,,,,,,,
Infections,,,,,,,,,,,,,,
Encroachment threats,,,biobalatech@gmail.com,,,,,,,,,,,
T. Balamurugan,1998,Study on habit-habitat analysis of some selected migratory birds at Point Calimere Wildlife and Bird Sanctuary,AVC College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",,M.Sc.,,,TD-00256,Shorebirds,,,
Coastal birds,,,,,,,,,,,,,,
Coromandel Coast,,,,,,,,,,,,,,
Coasts,,,,,,,,,,,,,,
Swamps,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Species co-occurrence,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Migration,,,,,,,,,,,,,,
Winter ecology,,,,,,,,,,,,,,
P. Balasubramanian,1990,Plant-animal inter-relations at Point Calimere Sanctuary,,,"University of Bombay, Bombay",,Ph.D.,,,TD-00066,Landbirds,,,
Coromandel Plains,,,,,,,,,,,,,,
Dry evergreen forests,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Plant-bird interactions,,,,,,,,,,,,,,
Vegetation,,,,,,,,,,,,,,
Frugivores,,,,,,,,,,,,,,
Frugivory,,,,,,,,,,,,,,
Fruit characteristics,,,,,,,,,,,,,,
Fruit traits,,,,,,,,,,,,,,
Seed germination,,,,,,,,,,,,,,
R. Barman,1999,"An ecological analysis of the wetlands in relation to waterbird diversity of Brahmaputra valley, Assam",Department of Zoology,,"Gauhati University, Guwahati",,Ph.D.,,,TD-00217,Waterbirds,,,
Wetland birds,,,,,,,,,,,,,,
Waterfowl,,,,,,,,,,,,,,
Assam plains,,,,,,,,,,,,,,
Rivers,,,,,,,,,,,,,,
Wetlands ,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Community organization,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Water availability,,,,,,,,,,,,,,
Limnology,,,,,,,,,,,,,,
Water quality parameters,,,,,,,,,,,,,,
Migrants,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
S. S. Barve,"2009, June","Responses shown by bird communities to teak plantations in Sagar Forest Division, Karnataka",Wildlife Institute of India,Dehradun,"University of Saurashtra, Rajkot",88,M.Sc.,,,TD-00339,Bird community,,,
Teak plantation,,,,,,,,,,,,,,
Bird diversity,,,,,,,,,,,,,,
Bird density,,,,,,,,,,,,,,
Floristics,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Vegetation structure,,,,,,,,,,,,,,
Guild composition,,,,,,,,,,,,,,
Guild structure,,,,,,,,,,,,,,
Bird abundance,,,,,,,,,,,,,,
Evergreen forests,,,,,,,,,,,,,,
Moist deciduous forests,,,,,,,,,,,,,,
Habitat characteristics,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
